Provinsi,DATE,Tmax_C,Tmin_C,Tavg_C,PRCP,Tahun,Triwulan
LAMPUNG,2018-01-18,30.0,23.38888888888889,26.22222222222222,0.18,2018,I
LAMPUNG,2018-01-19,31.0,23.38888888888889,26.22222222222222,0.0,2018,I
LAMPUNG,2018-01-20,33.22222222222222,23.88888888888889,28.000000000000004,99.99,2018,I
LAMPUNG,2018-01-21,33.22222222222222,24.0,27.944444444444443,0.0,2018,I
LAMPUNG,2018-01-22,31.61111111111111,24.222222222222214,26.611111111111114,0.02,2018,I
LAMPUNG,2018-01-23,30.38888888888889,23.22222222222222,26.166666666666664,0.24,2018,I
LAMPUNG,2018-01-24,31.77777777777778,23.000000000000004,26.166666666666664,0.43,2018,I
LAMPUNG,2018-01-25,28.38888888888889,23.22222222222222,26.05555555555556,0.0,2018,I
LAMPUNG,2018-01-26,31.61111111111111,24.0,27.16666666666667,0.08,2018,I
LAMPUNG,2018-01-27,30.61111111111111,23.38888888888889,26.333333333333336,0.0,2018,I
LAMPUNG,2018-01-28,32.0,21.22222222222222,26.77777777777778,0.0,2018,I
LAMPUNG,2018-01-29,31.77777777777778,24.0,27.05555555555556,0.0,2018,I
LAMPUNG,2018-01-30,34.0,24.27777777777778,27.0,1.26,2018,I
LAMPUNG,2018-01-31,33.0,24.388888888888893,28.166666666666668,0.0,2018,I
LAMPUNG,2018-02-01,32.611111111111114,23.77777777777778,27.0,0.28,2018,I
LAMPUNG,2018-02-02,31.38888888888889,23.5,27.22222222222222,0.0,2018,I
LAMPUNG,2018-02-03,33.611111111111114,23.38888888888889,27.5,0.0,2018,I
LAMPUNG,2018-02-04,31.77777777777778,23.77777777777778,27.16666666666667,0.12,2018,I
LAMPUNG,2018-02-05,31.88888888888889,24.222222222222214,26.0,0.0,2018,I
LAMPUNG,2018-02-06,30.38888888888889,23.38888888888889,26.0,0.0,2018,I
LAMPUNG,2018-02-07,30.77777777777778,23.111111111111107,25.777777777777786,0.91,2018,I
LAMPUNG,2018-02-08,31.0,23.38888888888889,25.83333333333333,0.0,2018,I
